name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nederland,2023-11-14,13.7,10.2,12.4,13.7,10.2,12.4,9.7,83.8,6.25,100,29.17,rain,0,0,66.9,46.8,248.6,1000.4,76.4,10.7,25.3,2.3,2,10,2023-11-14T07:59:15,2023-11-14T16:49:40,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,remote,06269099999,06257099999"
Nederland,2023-11-15,12,10.1,11,12,10.1,11,8.6,84.9,11.381,100,45.83,rain,0,0,44,33.9,261.4,1011.2,70.7,12.6,38,3.3,3,10,2023-11-15T08:01:02,2023-11-15T16:48:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-16,10.6,3.8,7.4,10.6,3.8,6.3,6,90.9,2.926,100,20.83,rain,0,0,44.4,30.1,16.1,1013.2,61.9,12.8,20.2,1.9,1,10,2023-11-16T08:02:48,2023-11-16T16:46:49,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D3248,06260099999,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2023-11-17,9.2,3.5,5.6,7.6,1.9,4.3,4.5,92.8,0,0,0,,0,0,23.9,12.6,183.6,1018.8,50.7,11,26.8,2.3,1,10,2023-11-17T08:04:34,2023-11-17T16:45:26,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-18,13.6,4.3,7.8,13.6,1.8,5.3,7.2,95.7,7.605,100,41.67,rain,0,0,42.9,31.4,168.4,1015.6,61.2,7.5,7.7,0.6,0,10,2023-11-18T08:06:19,2023-11-18T16:44:07,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-19,13.8,12,13,13.8,12,13,10.5,84.9,2.45,100,33.33,rain,0,0,54.7,39.3,238.9,1005.8,71.9,9.9,17.9,1.5,1,10,2023-11-19T08:08:03,2023-11-19T16:42:49,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-20,12.6,7.4,10.6,12.6,5.7,10.2,8.9,89.8,6.476,100,54.17,rain,0,0,48.4,31.1,242.5,1007.1,61.9,10.4,31.4,2.8,2,10,2023-11-20T08:09:47,2023-11-20T16:41:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-21,10.1,5.7,8.4,10.1,3.6,7.1,7.5,94.1,0.2,100,16.67,rain,0,0,34.4,21.5,16.3,1017.5,73.9,10.3,10.2,1,1,10,2023-11-21T08:11:29,2023-11-21T16:40:23,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-22,10.6,2,6,10.6,0.8,3.7,4.7,91.6,0.014,100,8.33,rain,0,0,33.5,25,201.8,1027.6,61.3,9.3,26.3,2.3,2,10,2023-11-22T08:13:10,2023-11-22T16:39:13,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-23,13.6,10.1,11.9,13.6,10.1,11.9,9.5,85.4,0.36,100,20.83,rain,0,0,57.2,43,265,1018.6,66.3,12.6,34.5,3.1,2,10,2023-11-23T08:14:50,2023-11-23T16:38:07,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-24,9.7,5.9,7.1,6.2,0.2,2.8,3.2,76.1,1.604,100,62.5,rain,0,0,77.2,49.7,319.4,1011.6,50.2,13.2,16.5,1.4,1,10,2023-11-24T08:16:29,2023-11-24T16:37:03,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-25,8,3.6,6.1,4.1,1.4,2.9,3,80.5,4.77,100,37.5,rain,0,0,53.3,31.1,323.5,1012.9,38,13.5,25.6,2.2,3,10,2023-11-25T08:18:07,2023-11-25T16:36:02,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-26,7.9,2.8,5.8,7.1,0.3,3.8,4.2,89.5,1.512,100,20.83,rain,0,0,23.9,17.7,240.6,1013.7,67.8,13.7,14.7,1.3,1,10,2023-11-26T08:19:43,2023-11-26T16:35:04,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-27,6,3,4.7,2.6,-1.9,0.9,4.1,95.7,12.777,100,95.83,rain,0,0,41.7,25.8,114.2,998.5,91.4,9.8,4.9,0.5,0,10,2023-11-27T08:21:18,2023-11-27T16:34:09,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-28,4.8,0.8,3,2.8,-3.5,-0.7,0.1,81.7,1.851,100,16.67,"rain,snow",0,0.1,43.6,27.8,339.1,1004.6,48.5,16.5,29.5,2.6,2,10,2023-11-28T08:22:51,2023-11-28T16:33:16,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-29,5.5,1,2.9,3.1,-2.2,-0.4,1.1,88,9.888,100,37.5,"rain,snow",0,0,55.6,31.4,267,1001.3,52.2,15.2,17.5,1.5,1,10,2023-11-29T08:24:22,2023-11-29T16:32:27,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
Nederland,2023-11-30,4.1,-1.1,0.9,4.1,-4,-0.5,0.2,94.8,1.495,100,8.33,"rain,snow",0,0,13.2,9.3,89.4,1001.9,57,6.3,31,2.7,2,10,2023-11-30T08:25:52,2023-11-30T16:31:41,0.6,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
